Quarter,Quarter Label,Economy,Economy Label,Flow,Flow Label,Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value,"Growth rate, year-on-year","Growth rate, year-on-year Footnote","Growth rate, year-on-year Missing value",Volume Index (2005=100),Volume Index (2005=100) Footnote,Volume Index (2005=100) Missing value,"Volume Index, seasonally adjusted (2005=100)","Volume Index, seasonally adjusted (2005=100) Footnote","Volume Index, seasonally adjusted (2005=100) Missing value","Growth rate (over previous period), seasonally adjusted","Growth rate (over previous period), seasonally adjusted Footnote","Growth rate (over previous period), seasonally adjusted Missing value"
2013Q03,"Q3 2013",344,"China, Hong Kong SAR",02,"Exports",2.0858,"Data refer to domestic exports and retained imports.",,-13.1901,"Data refer to domestic exports and retained imports.",,48.3714,"Data refer to domestic exports and retained imports.",,38.4117,"Data refer to domestic exports and retained imports.",,0.94311,"Data refer to domestic exports and retained imports.",
2013Q03,"Q3 2013",344,"China, Hong Kong SAR",01,"Imports",-2.3437,"Estimated. Data refer to domestic exports and retained imports.",,3.3058,"Estimated. Data refer to domestic exports and retained imports.",,183.392,"Estimated. Data refer to domestic exports and retained imports.",,181.8156,"Estimated. Data refer to domestic exports and retained imports.",,0.4,"Estimated. Data refer to domestic exports and retained imports.",
2013Q03,"Q3 2013",158,"China, Taiwan Province of",02,"Exports",-2.2375,,,0.8866,,,170.7399,,,160.9641,"Estimated",,-2.68735,"Estimated",
2013Q03,"Q3 2013",158,"China, Taiwan Province of",01,"Imports",-3.3386,,,1.2033,,,114.788,,,113.7545,"Estimated",,0.17742,"Estimated",
2013Q03,"Q3 2013",170,"Colombia",02,"Exports",-5.5537,"Estimated",,3.7483,"Estimated",,164.7741,"Estimated",,154.8421,"Estimated",,-4.34473,"Estimated",
2013Q03,"Q3 2013",170,"Colombia",01,"Imports",4.1727,"Estimated",,2.6073,"Estimated",,258.359,"Estimated",,234.2972,"Estimated",,0.06662,"Estimated",
2013Q03,"Q3 2013",188,"Costa Rica",02,"Exports",-3.4511,"Estimated",,7.85,"Estimated",,166.6723,"Estimated",,166.5997,"Estimated",,2.35341,"Estimated",
2013Q03,"Q3 2013",188,"Costa Rica",01,"Imports",-0.3031,"Estimated",,-1.9598,"Estimated",,165.2978,"Estimated",,157.7944,"Estimated",,-3.81037,"Estimated",
2013Q03,"Q3 2013",191,"Croatia",02,"Exports",17.3382,,,10.2125,,,154.8212,,,143.2664,,,18.16018,,
2013Q03,"Q3 2013",191,"Croatia",01,"Imports",-2.5655,,,11.2581,,,113.0003,,,101.9093,,,-0.3085,,
