year,ISO_code,countries,ECONOMIC FREEDOM,rank,quartile,1a_government_consumption,1b_transfers,1c_gov_enterprises,1d_top_marg_tax_rate,1_size_government,2a_judicial_independence,2b_impartial_courts,2c_protection_property_rights,2d_military_interference,2e_integrity_legal_system,2f_legal_enforcement_contracts,2g_restrictions_sale_real_property,2h_reliability_police,2i_business_costs_crime,2j_gender_adjustment,2_property_rights,3a_money_growth,3b_std_inflation,3c_inflation,3d_freedom_own_foreign_currency,3_sound_money,4a_tariffs,4b_regulatory_trade_barriers,4c_black_market,4d_control_movement_capital_ppl,4_trade,5a_credit_market_reg,5b_labor_market_reg,5c_business_reg,5_regulation
2001,MEX,Mexico,6.54,68,3,7.588235294,7.922037524,8,6,7.377568205,3.011363745,3.42696627,3.408239683,5,3.333333333,5.392658621,6.859286868,,,1,4.347406931,7.610500024,8.165985557,8.72749993,5,7.375996378,7.471111111,6.955761194,10,5.1194225,7.386573701,9.506800076,4.435121822,4.765903167,6.235941689
2001,USA,United States,8.47,5,1,6.603004422,6.788348848,8,7,7.097838317,7.885572116,8.03482612,9.05472676,8.333333333,10,7.32874573,9.608853531,,,1,8.606579656,9.70005757,9.800819519,9.434765776,10,9.733910716,8.064444444,8.409090837,10,8.20681,8.67008632,9.99115753,7.766929039,6.943143086,8.233743218
2000,CHN,China,5.75,96,4,4.058823529,,0,6,3.352941176,3.34,4.175,3.21731,7.342736684,6.666666667,6.730396635,8.268561658,,,1,5.677238806,8.903283228,8.629372267,9.948939044,5,8.120398635,7.106666667,6.175435,10,2.712312885,6.498603638,6.462092631,4.146415359,4.73618749,5.114898493
2000,MEX,Mexico,6.6,69,3,7.651839655,7.922037524,8,5,7.143469295,3.34,5.177,4.38421,5,3.333333333,5.392658621,6.859286868,,,1,4.783784117,7.221006404,7.091520243,8.100996172,5,6.853380705,7.484444444,7.45064,10,5.1194225,7.513626736,9.506800076,4.532295919,6.104348728,6.714481574
2000,USA,United States,8.62,4,1,6.586777814,6.541082633,8,7,7.031965112,8.016,9.018,9.10182,10,10,7.32874573,9.608853531,,,1,9.010488466,9.943484367,9.840201507,9.324628546,10,9.777078605,8.120940574,8.642478333,10,8.20681,8.742557227,9.81125329,7.638905,8.208172516,8.552776936
1995,CHN,China,5.07,95,4,6.065811372,,0,6,4.021937124,3.8,4.916666667,4.15,7.596046843,6.964285714,,,,,1,5.485399845,7.63480832,8.092,7.364,0,5.77270208,3.9,4.633333333,8.6,4.90875,5.510520833,4.6022176,4.544333333,4.5662,4.570916978
1995,MEX,Mexico,6.46,49,2,7.79942268,8.092643052,7,7,7.473016433,3.883333333,5.05,5.215,5.373332805,6.964285714,,,,,1,5.297190371,8.953028141,5.62,2.43,5,5.500757035,8.206666667,6.3,10,6.38625,7.723229167,8.573813732,5.86882,4.53305,6.325227911
1995,USA,United States,8.48,4,1,6.184062939,6.321525886,8,7,6.876397206,8.3,8.516666667,7.76,9.225330031,10,,,,,1,8.76039934,9.697758878,9.744,9.6,10,9.760439719,8.406666667,7.816666667,10,8.391666667,8.65375,9.59626293,7.460093333,7.941194444,8.332516902
1990,CHN,China,4.09,100,4,5.936801765,,0,5,3.645600588,,,4.6,,8.3,,,,,1,5.788625108,9.181245945,8.864,8.864,0,6.727311486,3.157777778,,0,5,2.719259259,0,3.156966667,,1.578483333
1990,MEX,Mexico,6.26,35,2,8.601810757,9.254744434,7,7,7.964138798,,,7.3,,8.3,,,,,1,6.761571054,0,0,4.374,10,3.5935,7.882222222,,10,5,7.627407407,5.58139074,5.081366667,,5.331378703
1990,USA,United States,8.48,3,1,5.657978235,6.675749319,8,7.5,6.958431888,,,10,,10,,,,,1,8.3465,9.856660471,9.712,9.132,10,9.675165118,8.226666667,,10,8,8.742222222,9.64297631,7.67895,,8.660963155
1985,CHN,China,4.82,73,3,5.732568584,,0,6,3.910856195,,,7.4,,8.2,,,,,1,6.78055073,8.137610095,8.64,7.972,0,6.187402524,2.716666667,,7.8,2,4.172222222,0,,,3.037680214
1985,MEX,Mexico,4.67,78,3,8.083701185,8.664850136,4,4,6.18713783,,,3.5,,8.2,,,,,1,5.377992288,2.800125159,1.896,0,10,3.67403129,6.133333333,,5,2,4.377777778,2.361027694,,,3.741828306
1985,USA,United States,8.26,3,1,5.453789359,6.730245232,8,4,6.046008648,,,10,,10,,,,,1,8.3465,9.107947555,9.036,9.296,10,9.359986889,8.773333333,,10,8,8.924444444,9.466132799,7.7396,,8.6028664
1980,CHN,China,3.64,94,4,5.25203699,,0,,2.626018495,,,,,,,,,,0.666666667,,6,9.476,9.244,0,6.18,3.15,,5,0,2.716666667,0,,,3.037680214
1980,MEX,Mexico,5.19,53,3,7.834085235,8.9373297,2,4,5.692853734,,,7.6,,6.7,,,,,1,6.291087217,6.267175437,9.084,5.44,10,7.697793859,1.91,,0,2,1.303333333,5.624958292,,,4.97380707
1980,USA,United States,8.07,2,1,5.526254834,7.166212534,8,0,5.173116842,,,10,,10,,,,,1,8.3465,9.250569224,9.54,8.098,10,9.222142306,8.903333333,,10,8,8.967777778,9.51618285,7.7396,,8.627891425
1975,CHN,China,,,,,,0,,,,,,,,,,,,0.666666667,,,9.7,9.974,0,6.558,,,5.2,0,,0,,,3.225840285
1975,MEX,Mexico,5.73,29,2,8.320588235,9.019073569,2,5,6.084915451,,,4.1,,,,,,,1,4.092072727,7.895684374,8.2,6.428,10,8.130921093,4.733333333,,10,2,5.577777778,5.336336336,,,4.766881992
1975,USA,United States,7.88,3,1,5.232352941,7.111716621,8,0,5.086017391,,,9.4,,,,,,,1,7.910148485,9.573975864,9.304,8.156,10,9.258493966,8.47,,10,8,8.823333333,8.772772773,7.8276,,8.300186386
1970,CHN,China,,,,,,0,,,,,,,,,,,,0.666666667,,,8.404,9.056,0,5.82,,,2,0,,0,,,3.225840285
1970,MEX,Mexico,6.78,15,2,9.353526639,9.524127003,4,,7.625884547,,,4.9,,,,,,,1,4.694427536,9.305004477,9.212,8.208,10,9.181251119,4.8,,10,2,5.6,4.724724725,,,
1970,USA,United States,7.77,4,1,5.10894171,7.980926431,8,0,5.272467035,,,10,,,,,,,1,8.3465,9.745108439,9.624,8.986,10,9.58877711,8.4,,10,8,8.8,9.336002669,4.3476,,6.841801335
